feature,density,fire_count,mean_activation_when_active,dead
481,0.0016498067989406504,266,1.0598345322716505,False
482,0.0011350174594215753,183,1.1579001373280593,False
483,0.0006822509318927502,110,1.1519323153929277,False
484,9.303421798537502e-05,15,0.9079240640004476,False
485,0.00015505702997562504,25,3.163462405204773,False
486,0.004552474400084351,734,0.8582056822503945,False
487,0.0022948440436392505,370,2.378869435916076,False
488,0.0010047695542420502,162,7.891738028438003,False
489,7.442737438830002e-05,12,2.1680975556373596,False
490,0.0026421717907846505,426,1.814506189364223,False
491,0.0004775756523249251,77,2.0980189032368846,False
492,0.0020219436708821506,326,0.7971834463575866,False
493,0.0012652653646011002,204,6.959035584155251,False
494,0.004961824959220001,800,1.3790374965965748,False
495,0.0016746159237367505,270,1.8880490082281607,False
496,0.0021894052632558253,353,0.9649024185310342,False
497,0.00014885474877660004,24,1.269646793603897,False
498,0.010413630133162977,1679,1.0182126211651454,False
499,0.046548120398682634,7505,0.9941118315328843,False
500,0.00019847299836880003,32,16.320763487368822,False
501,0.0011412197406206002,184,6.379474597132725,False
502,0.0019041003281006755,307,1.124935656494737,False
503,0.003274804473085201,528,1.0982233620051183,False
504,0.0006450372446986001,104,1.3467647685454442,False
505,8.683193678635003e-05,14,1.7205996768815177,False
506,0.0004713733711259001,76,1.7275212689449913,False
507,0.0012900744893972003,208,1.1857710377528117,False
508,0.0017366387357270004,280,0.7997912492070879,False
509,0.00014265246757757502,23,4.01233054244,False
510,0.0014761429253679504,238,1.1676510913031442,False
511,0.0020963710452704507,338,2.179535414340228,False
512,0.0009179376174557002,148,2.061353040708078,False
513,0.006698463694947002,1080,0.8068658590316773,False
514,0.0021149778888675257,341,3.026551839543228,False
515,0.0004341596839317501,70,10.940088726793016,False
516,0.0025987558223914756,419,1.4730289460366552,False
517,0.003101140599512501,500,0.9796901655197143,False
518,0.003932246280181851,634,1.3822256582392503,False
519,0.0008311056806693502,134,1.1802756928685885,False
520,6.202281199025001e-06,1,1.1909210681915283,False
521,0.026558168094225055,4282,1.2546687796537923,False
522,0.00017986615477172505,29,2.4769302154409476,False
523,0.0009613535858488752,155,1.1986525043364493,False
524,0.00039694599673760006,64,1.1618068721145391,False
525,0.0017614478605231004,284,1.2818336041880325,False
526,0.0002977094975532001,48,16.949086241424084,False
527,6.202281199025001e-06,1,0.7310581207275391,False
528,0.006220888042622077,1003,1.1065067557965296,False
529,0.0013955132697806253,225,2.270285831027561,False
530,0.0020033368272850756,323,1.3733057857666962,False
531,0.003584918533036451,578,1.0103710233958947,False
532,0.0012404562398050003,200,7.914352831244469,False
533,0.0010667923662323003,172,1.3501172959804535,False
534,0.0006264304011015251,101,4.732496915477337,False
535,0.00017366387357270005,28,1.5770860144070216,False
536,0.004385012807710676,707,0.9632327182289566,False
537,0.020517146206374706,3308,0.8299209711197065,False
538,0.0015753794245523503,254,1.8301588015293513,False
539,0.004006673654570151,646,0.7479711331819233,False
540,0.0012280516774069504,198,1.1565887524624063,False
541,0.0037213687194150007,600,1.727452576160431,False
542,0.00019847299836880003,32,1.8898484781384468,False
543,0.009191780736955053,1482,0.9301949461140292,False
544,0.0004651710899268751,75,1.4034239292144775,False
545,0.0020095391084841005,324,1.3365075124634638,False
546,0.0015753794245523503,254,1.2238005380930863,False
547,0.00028530493515515004,46,1.6704865901366523,False
548,0.008633575429042802,1392,0.7745863685662719,False
549,4.341596839317501e-05,7,0.7742357935224261,False
550,0.0009117353362566752,147,1.1162986739152143,False
551,4.961824959220001e-05,8,15.088728159666061,False
552,0.0006078235575044501,98,2.544213667207835,False
553,0.0012280516774069504,198,10.081660009393788,False
554,0.0004589688087278501,74,2.2517101410272957,False
555,0.0024561033548139008,396,1.5540679660108354,False
